id,neighbourhood_cleansed,room_type,accommodates,bedrooms,price,minimum_nights_x,maximum_nights,amenities,review_scores_rating,estimated_occupancy_l365d,Wifi_x,kitchen_x,has_washer_x,air conditioning_x,parking_gratuit_x,taux_occupation,seuil,classement,taille_groupe,Wifi_y,kitchen_y,has_washer_y,air conditioning_y,parking_gratuit_y,minimum_nights_y,recor_wifi,reco_kitchen,reco_washer,reco_ac,reco_parking,reco_nuit,recommandation_finale
545440,Chartrons - Grand Parc - Jardin Public,Entire home/apt,5,3.0,224.0,2,10,"[""Piano"", ""Host greets you"", ""Refrigerator"", ""Toaster"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Drying rack for clothing"", ""High chair"", ""Children\u2019s books and toys"", ""Dedicated workspace"", ""Baking sheet"", ""Pool view"", ""Blender"", ""Wine glasses"", ""Bed linens"", ""Private backyard"", ""Iron"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Carbon monoxide alarm"", ""Freezer"", ""Free street parking"", ""Beach essentials"", ""Record player"", ""TV"", ""Shower gel"", ""Ceiling fan"", ""Sound system"", ""Private pool - available all year"", ""Mini fridge"", ""Books and reading material"", ""Cooking basics"", ""Coffee maker"", ""Extra pillows and blankets"", ""Clothing storage: walk-in closet and closet"", ""Outdoor shower"", ""Cleaning products"", ""Outdoor furniture"", ""Central heating"", ""Outdoor dining area"", ""Cleaning available during stay"", ""Essentials"", ""Oven"", ""Table corner guards"", ""Hangers"", ""Microwave"", ""Private patio or balcony"", ""Free dryer \u2013 In unit"", ""Outlet covers"", ""Dishes and silverware"", ""Hot water kettle"", ""Hot water"", ""Bikes"", ""Shampoo"", ""Wifi"", ""Board games"", ""Smoke alarm"", ""Kitchen"", ""Sun loungers"", ""Bathtub""]",4.86,36,1,1,1,0,0,0.38904109589041097,93.0,0,127.0,1.0,1.0,0.90625,0.40625,0.1875,2.0,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
548827,Centre ville (Bordeaux),Private room,2,1.0,111.0,1,6,"[""Refrigerator"", ""HDTV"", ""Hair dryer"", ""Lockbox"", ""Clothing storage: wardrobe"", ""Dedicated workspace"", ""Bed linens"", ""Lock on bedroom door"", ""Shower gel"", ""Mini fridge"", ""City skyline view"", ""Portable fans"", ""Paid parking off premises"", ""Essentials"", ""Self check-in"", ""Hangers"", ""Body soap"", ""Hot water kettle"", ""Hot water"", ""Shampoo"", ""Wifi""]",4.5,0,1,0,0,0,0,0.8794520547945206,36.0,0,53.0,1.0,0.7333333333333333,0.4666666666666667,0.26666666666666666,0.0,2.0,,1.0,,,,,1. Ajouter une cuisine équipée
599263,Centre ville (Bordeaux),Entire home/apt,4,2.0,143.0,3,25,"[""Host greets you"", ""Refrigerator"", ""Hair dryer"", ""Stove"", ""Children\u2019s books and toys"", ""TV with standard cable"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Heating"", ""City skyline view"", ""Cooking basics"", ""Pocket wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Patio or balcony"", ""Crib"", ""Washer"", ""Dishes and silverware"", ""Single level home"", ""Hot water"", ""Dryer"", ""Shampoo"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Bathtub""]",4.94,120,1,1,1,0,0,0.057534246575342465,120.0,1,279.0,1.0,1.0,0.88,0.44,0.13333333333333333,2.0,,,,,,,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
656926,Bordeaux Sud,Private room,2,2.0,90.0,7,250,"[""Refrigerator"", ""Hair dryer"", ""Stove"", ""Barbecue utensils"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""BBQ grill"", ""Cooking basics"", ""Heating"", ""Coffee maker"", ""Extra pillows and blankets"", ""Backyard"", ""Paid parking off premises"", ""Oven"", ""Essentials"", ""Hangers"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Kitchen""]",4.75,0,1,1,1,0,0,0.5123287671232877,72.0,0,52.0,0.9375,0.75,0.75,0.3125,0.125,1.0,,,,,,1.0,1. Réduire le minimum de nuits
667763,Centre ville (Bordeaux),Entire home/apt,2,1.0,90.0,30,300,"[""Host greets you"", ""Room-darkening shades"", ""Refrigerator"", ""Toaster"", ""Hair dryer"", ""Ethernet connection"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Baking sheet"", ""Wine glasses"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Freezer"", ""Shower gel"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Mini fridge"", ""Clothing storage: closet"", ""Cooking basics"", ""Extra pillows and blankets"", ""Cleaning products"", ""Laundromat nearby"", ""Portable fans"", ""Cleaning available during stay"", ""Coffee"", ""Coffee maker: Nespresso"", ""Essentials"", ""Hangers"", ""Microwave"", ""Private patio or balcony"", ""Radiant heating"", ""Hot water kettle"", ""Dishes and silverware"", ""Hot water"", ""Kitchen"", ""HDTV with premium cable, standard cable"", ""Fast wifi \u2013 400 Mbps"", ""Dining table""]",4.86,120,1,1,1,0,0,0.5315068493150685,120.0,1,293.0,0.9761904761904762,0.9761904761904762,0.6904761904761905,0.19047619047619047,0.07142857142857142,2.0,,,,,,1.0,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
670292,Saint Augustin - Tauzin - Alphonse Dupeux,Entire home/apt,2,1.0,58.0,3,90,"[""Host greets you"", ""Refrigerator"", ""Toaster"", ""Hair dryer"", ""Stove"", ""Drying rack for clothing"", ""Wine glasses"", ""Iron"", ""Luggage dropoff allowed"", ""Coffee maker: drip coffee maker"", ""Pack \u2019n play/Travel crib - available upon request"", ""Freezer"", ""TV"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Private entrance"", ""Cooking basics"", ""Extra pillows and blankets"", ""Window guards"", ""Cleaning products"", ""Laundromat nearby"", ""Portable fans"", ""Outdoor furniture"", ""Crib - available upon request"", ""Outdoor dining area"", ""Cleaning available during stay"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Paid parking lot on premises"", ""Private patio or balcony"", ""Washer"", ""Radiant heating"", ""Dishes and silverware"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Dining table""]",4.86,36,1,1,1,0,0,0.7945205479452054,180.0,0,85.0,0.9130434782608695,1.0,0.4782608695652174,0.21739130434782608,0.17391304347826086,2.0,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
709326,Caudran,Private room,2,,,2,30,"[""Wifi"", ""Free parking on premises"", ""Smoke alarm"", ""TV with standard cable"", ""Kitchen"", ""Heating""]",5.0,0,1,1,0,0,1,1.0,,0,,,,,,,,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
724856,Saint Augustin - Tauzin - Alphonse Dupeux,Private room,2,1.0,43.0,1,27,"[""Piano"", ""Room-darkening shades"", ""Courtyard view"", ""Fast wifi \u2013 409 Mbps"", ""Toaster"", ""Hair dryer"", ""Private backyard \u2013 Fully fenced"", ""Stove"", ""Drying rack for clothing"", ""Lockbox"", ""Dedicated workspace"", ""Arthur Martin  oven"", ""Baking sheet"", ""Barbecue utensils"", ""Wine glasses"", ""Bed linens"", ""Lock on bedroom door"", ""Iron"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Conditioner"", ""First aid kit"", ""Breakfast"", ""BBQ grill"", ""Freezer"", ""Shower gel"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Mini fridge"", ""Books and reading material"", ""Cooking basics"", ""Pocket wifi"", ""Daewoo refrigerator"", ""Extra pillows and blankets"", ""Cleaning products"", ""Laundromat nearby"", ""Portable fans"", ""Central heating"", ""Outdoor furniture"", ""Outdoor dining area"", ""Coffee"", ""Coffee maker: Nespresso"", ""Essentials"", ""Self check-in"", ""Hangers"", ""Microwave"", ""Private patio or balcony"", ""Clothing storage: walk-in closet and wardrobe"", ""Body soap"", ""Hot water kettle"", ""Dishes and silverware"", ""Free washer"", ""Hot water"", ""Shampoo"", ""Smoke alarm"", ""Free dryer"", ""Kitchen"", ""Sun loungers"", ""Dining table""]",4.85,222,1,1,1,0,0,0.30684931506849317,180.0,1,31.0,1.0,0.625,0.375,0.125,0.0,1.0,,,,,,,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
776808,Nansouty - Saint Gens,Private room,2,1.0,116.0,2,15,"[""Host greets you"", ""Room-darkening shades"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Indoor fireplace"", ""Dedicated workspace"", ""Wine glasses"", ""Bed linens"", ""Lock on bedroom door"", ""Iron"", ""Luggage dropoff allowed"", ""Exterior security cameras on property"", ""Breakfast"", ""Carbon monoxide alarm"", ""Clothing storage"", ""TV"", ""Shower gel"", ""Long term stays allowed"", ""Books and reading material"", ""Heating"", ""Coffee maker"", ""Paid parking on premises"", ""Extra pillows and blankets"", ""Portable fans"", ""Cleaning available during stay"", ""Coffee"", ""Backyard"", ""Paid parking off premises"", ""Essentials"", ""Hangers"", ""Washer"", ""Body soap"", ""Hot water"", ""Dryer"", ""Shampoo"", ""Wifi"", ""Smoke alarm""]",4.75,0,1,0,1,0,0,0.08767123287671233,54.0,0,24.0,1.0,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.2857142857142857,1.0,,1.0,,,,,1. Ajouter une cuisine équipée
777417,Nansouty - Saint Gens,Private room,3,1.0,111.0,2,31,"[""Host greets you"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Indoor fireplace"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""First aid kit"", ""Breakfast"", ""Carbon monoxide alarm"", ""Beach essentials"", ""TV"", ""Long term stays allowed"", ""Private entrance"", ""Heating"", ""Coffee maker"", ""Paid parking on premises"", ""Backyard"", ""Essentials"", ""Hangers"", ""Washer"", ""Single level home"", ""Hot water"", ""Dryer"", ""Shampoo"", ""Wifi"", ""Smoke alarm""]",4.5,0,1,0,1,0,0,0.0958904109589041,54.0,0,24.0,1.0,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.2857142857142857,1.0,,1.0,,,,,1. Ajouter une cuisine équipée
792947,Magonty,Entire home/apt,2,1.0,128.0,1,1125,"[""Room-darkening shades"", ""Refrigerator"", ""Toaster"", ""HDTV"", ""Hair dryer"", ""Free parking on premises"", ""Dedicated workspace"", ""Baking sheet"", ""Bed linens"", ""Iron"", ""Luggage dropoff allowed"", ""First aid kit"", ""Private hot tub"", ""Freezer"", ""Garden view"", ""Private backyard \u2013 Not fully fenced"", ""Shower gel"", ""Long term stays allowed"", ""Cooking basics"", ""Extra pillows and blankets"", ""Cleaning products"", ""Laundromat nearby"", ""Portable fans"", ""Outdoor furniture"", ""Outdoor dining area"", ""Coffee maker: Nespresso"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Body soap"", ""Radiant heating"", ""Outlet covers"", ""Barre de son LG Bluetooth sound system"", ""Dishes and silverware"", ""Electric stove"", ""Hot water kettle"", ""Single level home"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Smoke alarm"", ""Kitchen""]",4.88,54,1,1,0,0,1,0.2876712328767123,29.5,-1,6.0,,,,,,,,,,,,,Pas assez de logements comparables dans votre segment pour un diagnostic fiable.
813125,Palmer-Gravires-Cavailles,Private room,2,,,4,30,"[""Host greets you"", ""Refrigerator"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Free parking on premises"", ""TV with standard cable"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Long term stays allowed"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Essentials"", ""Hangers"", ""Microwave"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Dryer"", ""Wifi"", ""Smoke alarm""]",,0,1,0,1,1,1,1.0,,0,,,,,,,,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
837713,Carbon-Blanc,Private room,2,1.0,37.0,5,365,"[""Piano"", ""Host greets you"", ""Room-darkening shades"", ""Refrigerator"", ""Toaster"", ""Hair dryer"", ""Stove"", ""Drying rack for clothing"", ""Free parking on premises"", ""Clothing storage: wardrobe"", ""Bed linens"", ""Lock on bedroom door"", ""Iron"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Free street parking"", ""Garden view"", ""TV"", ""Long term stays allowed"", ""Books and reading material"", ""Cooking basics"", ""Pocket wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cleaning products"", ""Outdoor furniture"", ""Outdoor dining area"", ""Backyard"", ""Essentials"", ""Oven"", ""Hangers"", ""Microwave"", ""Radiant heating"", ""Hot water kettle"", ""Dishes and silverware"", ""Single level home"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Paid washer \u2013 In unit"", ""Dining table""]",4.8,20,1,1,1,0,1,0.038356164383561646,20.0,-1,5.0,,,,,,,,,,,,,Pas assez de logements comparables dans votre segment pour un diagnostic fiable.
845807,Chartrons - Grand Parc - Jardin Public,Entire home/apt,2,1.0,126.0,2,1125,"[""Refrigerator"", ""Toaster"", ""Hair dryer"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Bed linens"", ""Iron"", ""Dishwasher"", ""Air conditioning"", ""Private entrance"", ""Cooking basics"", ""Coffee maker"", ""HDTV with standard cable"", ""Outdoor furniture"", ""Outdoor dining area"", ""Essentials"", ""Hangers"", ""Microwave"", ""Patio or balcony"", ""Washer"", ""Hot water kettle"", ""Dishes and silverware"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Dining table""]",4.86,42,1,1,1,1,0,0.863013698630137,120.0,0,124.0,1.0,1.0,0.8484848484848485,0.30303030303030304,0.18181818181818182,2.0,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
845815,Chartrons - Grand Parc - Jardin Public,Entire home/apt,2,1.0,99.0,3,1125,"[""Refrigerator"", ""Toaster"", ""Hair dryer"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Wine glasses"", ""Bed linens"", ""Iron"", ""Dishwasher"", ""Cooking basics"", ""Heating"", ""Coffee maker"", ""Cleaning products"", ""HDTV with standard cable"", ""Outdoor furniture"", ""Outdoor dining area"", ""Essentials"", ""Hangers"", ""Microwave"", ""Patio or balcony"", ""Washer"", ""Hot water kettle"", ""Dishes and silverware"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Kitchen"", ""Dining table""]",4.77,36,1,1,1,0,0,0.7890410958904109,120.0,0,124.0,1.0,1.0,0.8484848484848485,0.30303030303030304,0.18181818181818182,2.0,,,,,,,Votre logement correspond déjà au profil des meilleurs de votre segment.
856891,Caudran,Entire home/apt,10,5.0,389.0,2,30,"[""Pets allowed"", ""Refrigerator"", ""Hair dryer"", ""Stove"", ""Free parking on premises"", ""TV with standard cable"", ""Indoor fireplace"", ""Iron"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Free street parking"", ""Cooking basics"", ""Heating"", ""Coffee maker"", ""Fire extinguisher"", ""Outdoor furniture"", ""Outdoor dining area"", ""Backyard"", ""Oven"", ""Hangers"", ""Private pool"", ""Microwave"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Dryer"", ""Wifi"", ""Kitchen""]",4.67,30,1,1,1,0,1,0.0,28.0,1,71.0,1.0,1.0,0.9,0.7,0.8,3.0,,,,1.0,,,Votre logement fait déjà partie des meilleurs de votre segment. Continuez ainsi !
